0x1799f | les ebx, ptr [eax + 0x5e5b0000] ; pop edi ; pop ebp ; ret ; 
0x11d1f7 | add byte ptr [ecx + 0x10c48303], cl ; pop ebx ; pop esi ; ret ; 
0x11df7c | add al, 0x2b ; inc ebx ; add al, 0x83 ; ret ; 
0x11e918 | add byte ptr [eax], al ; add al, ch ; xor eax, 0x81000012 ; ret ; 
0x11e9e7 | sal byte ptr [ebp + 6], 0x83 ; les eax, ptr [ebx + ebx*2] ; pop esi ; ret ; 
0x11ebcf | dec dword ptr [ecx + 0x4c483f0] ; pop ebx ; pop esi ; ret ; 
0x11ef26 | add byte ptr es:[ebx - 0x3fcedb3c], al ; pop ebx ; pop esi ; ret ; 
0x11f707 | add al, 0x8b ; add al, 0x90 ; mov eax, dword ptr [eax] ; ret ; 
0x11f711 | inc esp ; and al, 4 ; mov eax, dword ptr [eax + 0x48] ; ret ; 
0x11f713 | add al, 0x8b ; inc eax ; dec eax ; ret ; 
0x11f728 | mov eax, dword ptr [eax + edx*4] ; mov edx, dword ptr [esp + 0xc] ; mov dword ptr [eax], edx ; ret ; 
0x11f729 | add al, 0x90 ; mov edx, dword ptr [esp + 0xc] ; mov dword ptr [eax], edx ; ret ; 
0x11f72a | nop ; mov edx, dword ptr [esp + 0xc] ; mov dword ptr [eax], edx ; ret ; 
0x11f72c | push esp ; and al, 0xc ; mov dword ptr [eax], edx ; ret ; 
0x11f73f | add byte ptr [ebx - 0x74fbdbbc], cl ; inc eax ; dec esp ; ret ; 
0x11f741 | inc esp ; and al, 4 ; mov eax, dword ptr [eax + 0x4c] ; ret ; 
0x11f743 | add al, 0x8b ; inc eax ; dec esp ; ret ; 
0x11f753 | or byte ptr [ebx - 0x76fbdbbc], cl ; push eax ; dec esp ; ret ; 
0x11f755 | inc esp ; and al, 4 ; mov dword ptr [eax + 0x4c], edx ; ret ; 
0x11f757 | add al, 0x89 ; push eax ; dec esp ; ret ; 
0x11f75e | add byte ptr es:[ebx - 0x74fbdbbc], cl ; inc eax ; push eax ; ret ; 
0x11f75f | add byte ptr [ebx - 0x74fbdbbc], cl ; inc eax ; push eax ; ret ; 
0x11f761 | inc esp ; and al, 4 ; mov eax, dword ptr [eax + 0x50] ; ret ; 
0x11f763 | add al, 0x8b ; inc eax ; push eax ; ret ; 
0x11f76f | add byte ptr [ebx - 0x74fbdbbc], cl ; inc eax ; pop esp ; ret ; 
0x11f773 | add al, 0x8b ; inc eax ; pop esp ; ret ; 
0x11f7be | add byte ptr es:[ebx - 0x74fbdbbc], cl ; inc eax ; pop eax ; ret ; 
0x11f7bf | add byte ptr [ebx - 0x74fbdbbc], cl ; inc eax ; pop eax ; ret ; 
0x11f7c1 | inc esp ; and al, 4 ; mov eax, dword ptr [eax + 0x58] ; ret ; 
0x11f7c3 | add al, 0x8b ; inc eax ; pop eax ; ret ; 
0x11f7cf | add byte ptr [ebx - 0x74fbdbbc], cl ; inc eax ; push esp ; ret ; 
0x11f7d1 | inc esp ; and al, 4 ; mov eax, dword ptr [eax + 0x54] ; ret ; 
0x11f7d3 | add al, 0x8b ; inc eax ; push esp ; ret ; 
0x11f881 | add byte ptr [eax], al ; add byte ptr [ebp + 0x1a], dh ; add esp, 0xc ; ret ; 
0x11f895 | add al, 0 ; add byte ptr [eax], al ; add esp, 0xc ; ret ; 
0x11f8a9 | add al, byte ptr [eax] ; add byte ptr [eax], al ; add esp, 0xc ; ret ; 
0x11f8b6 | add byte ptr [eax], al ; xor eax, eax ; add esp, 0xc ; ret ; 
0x11fc3f | add esp, 0x10 ; cdq ; add esp, 0xc ; ret ; 
0x11fc40 | les edx, ptr [eax] ; cdq ; add esp, 0xc ; ret ; 
0x1216bd | push dword ptr [eax + edx - 0x7d] ; les eax, ptr [ebx + ebx*2] ; pop esi ; ret ; 
0x1216e2 | fld qword ptr [ebx - 0x3fcefb3c] ; pop ebx ; pop esi ; ret ; 
0x123d8a | mov byte ptr [0x83fffb08], al ; les ebp, ptr [eax] ; pop ebx ; ret ; 
0x1242f2 | add byte ptr [ebx + 0x5e], bl ; pop edi ; neg eax ; ret ; 
0x1242f4 | pop esi ; pop edi ; neg eax ; ret ; 
0x12442e | add byte ptr es:[ebx - 0x3fceeb3c], al ; pop ebx ; pop esi ; ret ; 
0x12442f | add byte ptr [ebx - 0x3fceeb3c], al ; pop ebx ; pop esi ; ret ; 
0x12452a | sbb eax, 0x5b10c483 ; pop esi ; pop edi ; ret ; 
0x124d48 | push esp ; sub eax, 0xc483fffe ; adc al, 0x5b ; ret ; 
0x125693 | add byte ptr [eax], al ; add al, ch ; mov edx, 0x81ffffa4 ; ret ; 
0x125d3d | add cl, byte ptr [eax + 0x448b5f07] ; and al, 8 ; pop ebx ; ret ; 
0x12628e | mov byte ptr [edi], al ; pop edi ; pop ebx ; ret ; 
0x12628f | pop es ; pop edi ; pop ebx ; ret ; 
0x126d95 | add al, byte ptr [eax] ; add al, ch ; mov eax, 0x81ffff8d ; ret ; 
0x12b50f | movdqa xmmword ptr [edx - 0x10], xmm0 ; mov eax, edx ; pop ebx ; ret ; 
0x12b510 | movq qword ptr [edx - 0x10], mm0 ; mov eax, edx ; pop ebx ; ret ; 
0x135500 | movzx ecx, byte ptr [eax] ; movzx eax, byte ptr [edx] ; sub eax, ecx ; ret ; 
0x135501 | mov dh, 8 ; movzx eax, byte ptr [edx] ; sub eax, ecx ; ret ; 
0x135502 | or byte ptr [edi], cl ; mov dh, 2 ; sub eax, ecx ; ret ; 
0x135551 | mov dh, 0x48 ; add eax, 0x542b60f ; sub eax, ecx ; ret ; 
0x135552 | dec eax ; add eax, 0x542b60f ; sub eax, ecx ; ret ; 
0x135565 | mov dh, 0x42 ; push es ; sub eax, ecx ; ret ; 
0x135566 | inc edx ; push es ; sub eax, ecx ; ret ; 
0x1355b6 | add dh, bh ; fadd st(3) ; xor eax, eax ; ret ; 
0x136cbc | movzx eax, byte ptr [edx] ; sub eax, ecx ; pop ebp ; ret ; 
0x136cbd | mov dh, 2 ; sub eax, ecx ; pop ebp ; ret ; 
0x136cdd | movzx eax, byte ptr [edx + 1] ; sub eax, ecx ; pop ebp ; ret ; 
0x136cfd | movzx eax, byte ptr [edx + 2] ; sub eax, ecx ; pop ebp ; ret ; 
0x136d1d | movzx eax, byte ptr [edx + 3] ; sub eax, ecx ; pop ebp ; ret ; 
0x136d3d | movzx eax, byte ptr [edx + 4] ; sub eax, ecx ; pop ebp ; ret ; 
0x136d5c | add eax, 0x542b60f ; sub eax, ecx ; pop ebp ; ret ; 
0x136d5d | movzx eax, byte ptr [edx + 5] ; sub eax, ecx ; pop ebp ; ret ; 
0x136d7d | movzx eax, byte ptr [edx + 6] ; sub eax, ecx ; pop ebp ; ret ; 
0x136d80 | push es ; sub eax, ecx ; pop ebp ; ret ; 
0x136e02 | pop ebx ; pop ebp ; xor eax, eax ; ret ; 
0x1394a7 | neg eax ; add esp, 4 ; pop ebx ; ret ; 
0x1394a8 | fadd dword ptr [ebx - 0x3ca4fb3c] ; pop ebx ; xor eax, eax ; ret ; 
0x13bd39 | add esp, 4 ; pop ebp ; pop ebx ; ret ; 
0x13c00d | adc bl, byte ptr [esi + 0x5d] ; pop ebx ; xor eax, eax ; ret ; 
0x13c02d | pop esi ; pop ebp ; pop ebx ; ret ; 
0x13c1cd | sub eax, ecx ; pop esi ; pop edi ; ret ; 
0x13c4cf | add byte ptr [esi + 0x5f], bl ; xor eax, eax ; pop ebp ; ret ; 
0x13c4d1 | pop edi ; xor eax, eax ; pop ebp ; ret ; 
0x13c6aa | lea esi, [esi] ; pop ebx ; xor eax, eax ; ret ; 
0x13c6c2 | movzx eax, byte ptr [eax] ; movzx edx, byte ptr [edx] ; sub eax, edx ; ret ; 
0x13c6c3 | mov dh, 0 ; movzx edx, byte ptr [edx] ; sub eax, edx ; ret ; 
0x13c6c4 | add byte ptr [edi], cl ; mov dh, 0x12 ; sub eax, edx ; ret ; 
0x13c831 | test dword ptr [eax + 9], edx ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13c8cd | mov ch, 8 ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13c9f8 | test dword ptr [ebx + 7], esi ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13ca75 | test dword ptr [edi + eax], ecx ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13ca76 | or al, 7 ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13cb02 | push es ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13cc26 | test dword ptr [ebp + 5], eax ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13cdfd | test dword ptr [ebx], eax ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13cf31 | test dword ptr [eax + 2], edx ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13d09b | out 0, eax ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13d126 | add byte ptr [eax], al ; add byte ptr [ebp + 0x45], dh ; pop ebx ; ret ; 
0x13d15a | add byte ptr [eax], al ; add byte ptr [ebp + 0x11], dh ; pop ebx ; ret ; 
0x13d4f0 | xor eax, eax ; pop edi ; pop ebx ; ret ; 
0x13d507 | neg eax ; pop edi ; pop ebx ; ret ; 
0x13da4d | add byte ptr [eax], al ; add byte ptr [esi + 0x31], bl ; rcr byte ptr [edi + 0x5d], 0x5b ; ret ; 
0x13dcf5 | sub eax, edx ; pop edi ; pop ebp ; ret ; 
0x13e171 | cmp eax, dword ptr [edx] ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13e1e7 | lds eax, ptr [ecx] ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13e262 | test dword ptr [ecx + 1], ecx ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13e36e | add byte ptr [eax], al ; add byte ptr [ebp + 0x3d], dh ; pop ebx ; ret ; 
0x13e3a2 | add byte ptr [eax], al ; add byte ptr [ebp + 9], dh ; pop ebx ; ret ; 
0x13f587 | imul byte ptr [ecx] ; rcr byte ptr [edi + 0x5e], 1 ; pop ebx ; ret ; 
0x13f82b | and dword ptr [edx], eax ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13f8e8 | test byte ptr [ecx], al ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x13fa40 | add byte ptr [eax], al ; add byte ptr [ebp + 0x2b], dh ; pop ebx ; ret ; 
0x13fd33 | add al, 0x75 ; dec esi ; add eax, 0xb ; ret ; 
0x13fd5c | add byte ptr [eax], al ; add byte ptr [eax], al ; add eax, 1 ; ret ; 
0x1402cc | add dword ptr [eax], eax ; add byte ptr [eax - 0x3fcea1a5], dl ; pop edi ; ret ; 
0x1404e6 | add byte ptr [eax], al ; lea eax, [edi - 0xc] ; pop edi ; ret ; 
0x140541 | inc edi ; int1 ; pop edi ; ret ; 
0x14054e | add byte ptr [eax], al ; lea eax, [edi - 0xe] ; pop edi ; ret ; 
0x14056e | add byte ptr [eax], al ; lea eax, [edi - 0xb] ; pop edi ; ret ; 
0x140571 | inc edi ; cmc ; pop edi ; ret ; 
0x14057e | add byte ptr [eax], al ; lea eax, [edi - 0xa] ; pop edi ; ret ; 
0x1405a1 | inc edi ; stc ; pop edi ; ret ; 
0x1405b1 | inc edi ; cli ; pop edi ; ret ; 
0x1405be | add byte ptr [eax], al ; lea eax, [edi - 5] ; pop edi ; ret ; 
0x1405c1 | inc edi ; sti ; pop edi ; ret ; 
0x1405ce | add byte ptr [eax], al ; lea eax, [edi - 3] ; pop edi ; ret ; 
0x1405d1 | inc edi ; std ; pop edi ; ret ; 
0x140ab4 | enter 0, 0 ; xor eax, eax ; pop edi ; ret ; 
0x140cb2 | or dword ptr [edx + 0x5b], esi ; lea eax, [edi + 8] ; pop edi ; ret ; 
0x140cb4 | pop ebx ; lea eax, [edi + 8] ; pop edi ; ret ; 
0x140cc2 | or dh, byte ptr [edx + 0x4b] ; lea eax, [edi + 9] ; pop edi ; ret ; 
0x140cc4 | dec ebx ; lea eax, [edi + 9] ; pop edi ; ret ; 
0x140cd2 | or esi, dword ptr [edx + 0x3b] ; lea eax, [edi + 0xa] ; pop edi ; ret ; 
0x140e8c | add dword ptr [eax], eax ; add byte ptr [esi + 0xf], ah ; xlatb ; ret ; 
0x140edf | fld qword ptr [ecx] ; add byte ptr [eax], al ; mov eax, ecx ; ret ; 
0x140f4c | xor byte ptr [edx], al ; add byte ptr [eax], al ; xor eax, eax ; ret ; 
0x140f8a | test dword ptr [ecx + 2], esi ; add byte ptr [eax], al ; xor eax, eax ; ret ; 
0x141006 | mov dh, 0 ; add byte ptr [eax], al ; mov eax, ecx ; ret ; 
0x14103e | test dword ptr [ebp], edi ; add byte ptr [eax], al ; mov eax, ecx ; ret ; 
0x141064 | mov byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [ecx + 4] ; ret ; 
0x1410cc | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [ecx + 2] ; ret ; 
0x1410fc | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [ecx + 6] ; ret ; 
0x14110c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [ecx + 7] ; ret ; 
0x14111c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [ecx + 9] ; ret ; 
0x14113c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [ecx + 0xb] ; ret ; 
0x14115c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [ecx + 0xe] ; ret ; 
0x1411b3 | sbb dword ptr [edx], eax ; add byte ptr [eax], al ; mov eax, ecx ; ret ; 
0x1416b3 | test dword ptr [eax - 0x73000000], ebp ; inc edx ; pop es ; ret ; 
0x14171c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [edx + 1] ; ret ; 
0x14172c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [edx + 2] ; ret ; 
0x14173c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [edx + 4] ; ret ; 
0x14174c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [edx + 5] ; ret ; 
0x14175c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [edx + 6] ; ret ; 
0x14176c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [edx + 8] ; ret ; 
0x14177c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [edx + 9] ; ret ; 
0x14178c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [edx + 0xa] ; ret ; 
0x14179c | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [edx + 0xc] ; ret ; 
0x1417ac | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [edx + 0xd] ; ret ; 
0x1417bc | add byte ptr [eax], al ; add byte ptr [eax], al ; lea eax, [edx + 0xe] ; ret ; 
0x141ac3 | add byte ptr [eax], al ; add eax, 3 ; pop edi ; ret ; 
0x141ae9 | add byte ptr [eax], al ; add eax, 7 ; pop edi ; ret ; 
0x141b10 | add byte ptr [eax], al ; add eax, 0xb ; pop edi ; ret ; 
0x141b39 | add byte ptr [eax], al ; add eax, 0xf ; pop edi ; ret ; 
0x141b9f | sal byte ptr [ebp + 0xe], cl ; mov eax, dword ptr [esp + 0xc] ; pop edi ; ret ; 
0x141ba1 | push cs ; mov eax, dword ptr [esp + 0xc] ; pop edi ; ret ; 
0x141bdf | add byte ptr [eax], al ; lea eax, [eax + 3] ; pop edi ; ret ; 
0x141c12 | add byte ptr [eax], al ; lea eax, [eax + 7] ; pop edi ; ret ; 
0x141c15 | inc eax ; pop es ; pop edi ; ret ; 
0x141c49 | add byte ptr [eax], al ; lea eax, [eax + 0xb] ; pop edi ; ret ; 
0x141c72 | add byte ptr [eax], al ; lea eax, [eax + 0xf] ; pop edi ; ret ; 
0x141c87 | add byte ptr [eax], al ; lea eax, [eax + 1] ; pop edi ; ret ; 
0x141c97 | add byte ptr [eax], al ; lea eax, [eax + 2] ; pop edi ; ret ; 
0x141ca7 | add byte ptr [eax], al ; lea eax, [eax + 4] ; pop edi ; ret ; 
0x141cc6 | inc eax ; push es ; pop edi ; ret ; 
0x141cd2 | or dword ptr [edx + 0x5b], esi ; lea eax, [eax + 8] ; pop edi ; ret ; 
0x141cd4 | pop ebx ; lea eax, [eax + 8] ; pop edi ; ret ; 
0x141ce2 | or dh, byte ptr [edx + 0x4b] ; lea eax, [eax + 9] ; pop edi ; ret ; 
0x141ce4 | dec ebx ; lea eax, [eax + 9] ; pop edi ; ret ; 
0x141cf2 | or esi, dword ptr [edx + 0x3b] ; lea eax, [eax + 0xa] ; pop edi ; ret ; 
0x141d26 | inc eax ; push cs ; pop edi ; ret ; 
0x141d2e | add byte ptr [eax], al ; mov eax, dword ptr [esp + 0xc] ; pop edi ; ret ; 
0x141d8b | add byte ptr [eax], al ; mov eax, 4 ; pop edi ; ret ; 
0x141d8e | add al, 0 ; add byte ptr [eax], al ; pop edi ; ret ; 
0x141de4 | add byte ptr [eax], al ; mov eax, 8 ; pop edi ; ret ; 
0x141de7 | or byte ptr [eax], al ; add byte ptr [eax], al ; pop edi ; ret ; 
0x141e33 | add byte ptr [eax], al ; add byte ptr [eax + 0xc], bh ; pop edi ; ret ; 
0x141e37 | or al, 0 ; add byte ptr [eax], al ; pop edi ; ret ; 
0x141e6b | adc byte ptr [eax], al ; add byte ptr [eax], al ; pop edi ; ret ; 
0x141e82 | add dword ptr [edi - 0x3d], ebx ; add eax, 2 ; pop edi ; ret ; 
0x141e87 | add bl, byte ptr [edi - 0x3d] ; add eax, 3 ; pop edi ; ret ; 
0x141e8c | add ebx, dword ptr [edi - 0x3d] ; add eax, 4 ; pop edi ; ret ; 
0x141e96 | add eax, 0xc083c35f ; push es ; pop edi ; ret ; 
0x141e99 | add eax, 6 ; pop edi ; ret ; 
0x141e9a | rol byte ptr [esi], 0x5f ; ret ; 
0x141ea3 | add eax, 8 ; pop edi ; ret ; 
0x141ea4 | ror byte ptr [eax], 0x5f ; ret ; 
0x141eaa | or dword ptr [edi - 0x3d], ebx ; add eax, 0xa ; pop edi ; ret ; 
0x141eaf | or bl, byte ptr [edi - 0x3d] ; add eax, 0xb ; pop edi ; ret ; 
0x141eb4 | or ebx, dword ptr [edi - 0x3d] ; add eax, 0xc ; pop edi ; ret ; 
0x141ebe | or eax, 0xc083c35f ; push cs ; pop edi ; ret ; 
0x141ec1 | add eax, 0xe ; pop edi ; ret ; 
0x141ec2 | ror byte ptr [esi], 0x5f ; ret ; 
0x1423c6 | or edi, esi ; fcomp dword ptr [edi + 0x5e] ; pop ebx ; ret ; 
0x14260d | pop dword ptr [eax] ; add byte ptr [eax], al ; lea eax, [ecx + 4] ; ret ; 
0x142663 | or al, 0xa8 ; add dword ptr [ebp + 0x18], esi ; lea eax, [ecx + 4] ; ret ; 
0x14267b | add byte ptr es:[eax], al ; add byte ptr [eax], al ; mov eax, ecx ; ret ; 
0x1428af | nop ; lea eax, [edi - 0xc] ; pop edi ; ret ; 
0x142fec | add byte ptr [esi + 9], bh ; pop ebx ; pop esi ; ret ; 
0x14302c | add byte ptr [esi + 9], dh ; pop ebx ; pop esi ; ret ; 
0x143214 | fild qword ptr [esp] ; add esp, 0x14 ; faddp st(1) ; ret ; 
0x143215 | sub al, 0x24 ; add esp, 0x14 ; faddp st(1) ; ret ; 
