0xbab23 | adc al, 0x30 ; in eax, dx ; mov byte ptr [rdi + 0x15], ch ; ret ; 
0x14106c | sal dword ptr [rcx], 0xc0 ; rep stosq qword ptr [rdi], rax ; mov eax, r8d ; ret ; 
0x1415bf | sar byte ptr [rax + 0x14], cl ; mov rax, rdx ; movsxd rdx, esi ; ret ; 
0x9be17 | sar byte ptr [rsi + 0x26], 0x85 ; fisttp dword ptr [rdi] ; xchg eax, esp ; ret ; 
0x3e249 | sar eax, 0x1f ; not eax ; and eax, edx ; ret ; 
0x3e58a | sar eax, 0x3f ; not eax ; and eax, ecx ; ret ; 
0x3de6d | sar eax, 0x3f ; not eax ; and eax, edx ; ret ; 
0x438e4 | sar edx, 0x1f ; xor eax, edx ; sub eax, edx ; ret ; 
0xac367 | sar edx, cl ; movzx edx, dl ; sub eax, edx ; ret ; 
0x3e589 | sar rax, 0x3f ; not eax ; and eax, ecx ; ret ; 
0x3de6c | sar rax, 0x3f ; not eax ; and eax, edx ; ret ; 
0xac366 | sar rdx, cl ; movzx edx, dl ; sub eax, edx ; ret ; 
0xedc43 | sbb al, 0xb8 ; add al, byte ptr [rax] ; add byte ptr [rax], al ; ret ; 
0x3d783 | sbb al, ch ; out 0x25, eax ; or eax, 0x89c08500 ; ret ; 
0xbaba4 | sbb byte ptr [r8], r14b ; in eax, dx ; mov byte ptr [rdi + 0x19], ch ; ret ; 
0xbabc6 | sbb byte ptr [r8], r14b ; in eax, dx ; mov byte ptr [rdi + 0x1a], ch ; ret ; 
0xbac04 | sbb byte ptr [r8], r14b ; in eax, dx ; mov byte ptr [rdi + 0x1c], ch ; ret ; 
0x8dda1 | sbb byte ptr [rax - 0x77], cl ; push rdi ; mov qword ptr [rdi + 8], rax ; ret ; 
0xbaba5 | sbb byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0x19], ch ; ret ; 
0xbabc7 | sbb byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0x1a], ch ; ret ; 
0xbac05 | sbb byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0x1c], ch ; ret ; 
0xb742f | sbb cl, byte ptr [rdi] ; test dword ptr [rdx + 5], ebp ; add byte ptr [rax], al ; ret ; 
0xd12f5 | sbb dword ptr [rdi + 0x18], edi ; mov rax, rbx ; pop rbx ; ret ; 
0xb8b5e | sbb dword ptr [rdi], ecx ; test dword ptr [rbx + 6], ebx ; add byte ptr [rax], al ; ret ; 
0xefede | sbb eax, eax ; and eax, 2 ; add eax, 8 ; ret ; 
0x52bfa | sbb eax, eax ; and eax, 2 ; sub eax, 1 ; ret ; 
0x159662 | scasb al, byte ptr [rdi] ; mov qword ptr fs:[rbx], rax ; pop rbx ; ret ; 
0xdedd8 | setbe al ; movzx eax, al ; pop rbx ; ret ; 
0x11cef2 | setne al ; movzx eax, al ; pop rbx ; ret ; 
0xb1492 | shl dword ptr [rsi + 0xf], 0xd7 ; shl byte ptr [rsi + 0xf], 1 ; outsd dx, dword ptr [rsi] ; ret ; 
0x1216db | shl eax, 0x20 ; and rax, rdi ; or rax, rsi ; ret ; 
0x3f8f3 | shl eax, cl ; or qword ptr [rdi], rax ; xor eax, eax ; ret ; 
0x43936 | shl edx, 0x20 ; mov eax, eax ; or rax, rdx ; ret ; 
0x3f8f2 | shl rax, cl ; or qword ptr [rdi], rax ; xor eax, eax ; ret ; 
0x43935 | shl rdx, 0x20 ; mov eax, eax ; or rax, rdx ; ret ; 
0x11efc1 | shr al, 0x99 ; and dh, al ; dec dword ptr [rax - 0x77] ; ret ; 
0x12d6cc | shr al, cl ; scasb al, byte ptr [rdi] ; enter -1, 9 ; ret ; 
0x121698 | shr eax, 0xc ; xor al, al ; or eax, edx ; ret ; 
0xbba5a | shr eax, 0xe ; and eax, 0x3fc00 ; pop rbx ; ret ; 
0xbbaa5 | shr eax, 6 ; and eax, 0x3fffc00 ; pop rbx ; ret ; 
0x16748f | shr eax, 6 ; or qword ptr [rdi + rax*8], rdx ; xor eax, eax ; ret ; 
0x96520 | shr ecx, 3 ; rep stosq qword ptr [rdi], rax ; pop rbx ; ret ; 
0x5338f | shr r9, cl ; mov qword ptr [rdi], r9 ; ret ; 
0x121697 | shr rax, 0xc ; xor al, al ; or eax, edx ; ret ; 
0xe9789 | stosd dword ptr [rdi], eax ; add byte ptr [rax], al ; add byte ptr [rax - 0x7d], cl ; ret ; 
0x2f1b1 | stosd dword ptr [rdi], eax ; mov bh, 0x3b ; add byte ptr [rax + 0x39], cl ; ret ; 
0x1244ed | sub al, 0 ; mov rax, qword ptr [rax + 0x18] ; add dword ptr [rax], 1 ; ret ; 
0xbcd72 | sub al, 0x3b ; sub al, 0x75 ; pop rax ; ret ; 
0x131761 | sub al, 0x80 ; add byte ptr [rax], al ; add byte ptr [rax - 0x7d], cl ; ret ; 
0x190b93 | sub al, 0xa ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0xbf136 | sub al, 1 ; add byte ptr [rax], al ; add byte ptr [rax - 0x7d], cl ; ret ; 
0x9f132 | sub al, bl ; add dword ptr [rax], eax ; cmovne rax, rdx ; ret ; 
0x3d25a | sub al, byte ptr [rax] ; add byte ptr [rax], al ; mov rax, rcx ; ret ; 
0xe1d99 | sub byte ptr [rax], al ; add byte ptr [rax], al ; add byte ptr [rbx + rcx*4 + 0x25], cl ; ret ; 
0x15dff6 | sub byte ptr [rcx + rcx*4 + 0x63], cl ; and byte ptr [rbx + 0x5d], bl ; pop r12 ; ret ; 
0x1598c2 | sub dl, byte ptr [rsi] ; sub dword ptr [rax], eax ; pop rbx ; ret ; 
0x1921e9 | sub dword ptr [rdx], eax ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x191376 | sub dword ptr [rip - 0xcfffffe], 0xf ; outsd dx, dword ptr [rsi] ; push rdi ; ret ; 
0x522de | sub dword ptr [rsi], ecx ; add byte ptr [rcx - 0x77], cl ; fimul dword ptr [rax - 0x7d] ; ret ; 
0x2cb54 | sub eax, 1 ; mov dword ptr [rbx + 8], eax ; pop rbx ; ret ; 
0x59806 | sub eax, dword ptr [rcx + 0xf] ; mov dh, 0x47 ; or al, 0x83 ; ret ; 
0x12bef5 | sub eax, ecx ; cmp sil, cl ; cmovne eax, edx ; ret ; 
0x12be83 | sub eax, ecx ; cmp sil, dl ; cmovne eax, ecx ; ret ; 
0x54af0 | sub eax, ecx ; mov dword ptr [rdx], eax ; mov eax, 1 ; ret ; 
0x9e7b1 | sub eax, edi ; dec dword ptr [rbp - 0x7b] ; test byte ptr [rdi], 0x84 ; ret ; 
0x12bebe | sub eax, edx ; cmp dil, cl ; cmovne eax, esi ; ret ; 
0x54c93 | sub eax, edx ; mov dword ptr [rdx], eax ; mov eax, 2 ; ret ; 
0x141669 | sub eax, esi ; add eax, edi ; cmovs eax, edx ; ret ; 
0x12bef4 | sub eax, r9d ; cmp sil, cl ; cmovne eax, edx ; ret ; 
0x12be82 | sub eax, r9d ; cmp sil, dl ; cmovne eax, ecx ; ret ; 
0x3f854 | sub ecx, -0x80 ; shr ecx, 3 ; rep stosq qword ptr [rdi], rax ; ret ; 
0x3db3b | sub ecx, edx ; not eax ; and eax, ecx ; ret ; 
0x8fb50 | sub edx, dword ptr [rax + 0x10] ; mov eax, dword ptr [rdi + 0x10] ; sub eax, edx ; ret ; 
0x8fb45 | sub edx, dword ptr [rax + 0x18] ; mov eax, dword ptr [rdi + 0x10] ; sub eax, edx ; ret ; 
0x1163d4 | sub edx, eax ; test eax, eax ; cmovns eax, edx ; ret ; 
0x15e8df | test ah, dh ; add dword ptr [rax], eax ; add byte ptr [rax - 0x39], cl ; ret ; 
0x11060d | test al, 0 ; add byte ptr [rax], al ; add rsp, 0x78 ; ret ; 
0x153062 | test al, 0 ; add byte ptr [rax], al ; mov eax, 1 ; ret ; 
0x1598ef | test al, 0 ; add byte ptr [rax], al ; pop rbx ; ret ; 
0x90ff8 | test bl, al ; add dword ptr [rax], eax ; add byte ptr [rax + 1], cl ; ret ; 
0x89b38 | test bl, bl ; add dword ptr [rax], eax ; add byte ptr [rax - 0x77], cl ; ret ; 
0x4c888 | test bl, dh ; or dword ptr [rax], eax ; add byte ptr [rax], bh ; ret ; 
0x131760 | test byte ptr [rax + rax*4], ch ; add byte ptr [rax], al ; add byte ptr [rax - 0x7d], cl ; ret ; 
0xc6770 | test byte ptr [rax + rdx*4], ah ; add byte ptr [rax], al ; add byte ptr [rax + 0x39], cl ; ret ; 
0x148fe3 | test byte ptr [rax], bh ; add dword ptr [rax], eax ; add byte ptr [rax - 0x77], cl ; ret ; 
0xa1c3b | test byte ptr [rax], dh ; add al, 0 ; add byte ptr [rcx - 0x77], cl ; ret ; 
0x7b9c2 | test byte ptr [rax], dl ; or byte ptr [rcx], spl ; test byte ptr [rax + 9], cl ; ret ; 
0xf45b0 | test byte ptr [rbx], cl ; add al, byte ptr [rax] ; add dh, dh ; ret ; 
0x55a48 | test byte ptr [rbx], cl ; or al, byte ptr [rax] ; add byte ptr [rax], bh ; ret ; 
0x10be51 | test byte ptr [rbx], dl ; or dword ptr [rax], eax ; add byte ptr [rax - 0x7d], cl ; ret ; 
0x5a136 | test byte ptr [rdi], al ; or eax, dword ptr [rax] ; add byte ptr [rcx - 0x77], cl ; ret ; 
0xa4e6e | test byte ptr [rsi], al ; sub dword ptr [rax], eax ; add bh, dh ; ret ; 
0xb169d | test byte ptr [rsi], bh ; add byte ptr [rax], al ; bsf rax, rdx ; ret ; 
0xffb01 | test byte ptr [rsp + rbx*2], ah ; add dword ptr [rax], eax ; add byte ptr [rcx], bh ; ret ; 
0xff956 | test byte ptr [rsp], ah ; add dword ptr [rax], eax ; add byte ptr [rcx], bh ; ret ; 
0xa317a | test cl, bl ; add dword ptr [rax], eax ; add byte ptr [rax + 0x63], cl ; ret ; 
0x13e4bd | test dh, cl ; add byte ptr [rax], al ; add byte ptr [rcx - 0xa], al ; ret ; 
0x65456 | test dword ptr [rax], eax ; add byte ptr [rax], al ; add byte ptr [rax + 0x29], cl ; ret ; 
0xf673b | test dword ptr [rbp - 0x74fffffc], eax ; pop rdx ; or bh, dh ; ret ; 
0xd0798 | test dword ptr [rbx + 1], esp ; add byte ptr [rax], al ; lea rax, [rdi - 0x10] ; ret ; 
0x190e77 | test dword ptr [rbx + 7], edx ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x1912c6 | test dword ptr [rbx + rax], eax ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x190e4d | test dword ptr [rcx + 7], esi ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x190d5d | test dword ptr [rcx + 8], esp ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x190c6d | test dword ptr [rcx + 9], edx ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x12cf83 | test dword ptr [rdi], ebp ; idiv bh ; dec dword ptr [rax - 0x7d] ; ret ; 
0x1921c2 | test dword ptr [rdx + rax], edi ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x190b92 | test dword ptr [rdx + rcx], ebp ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x194ed2 | test dword ptr [rsi + 1], ebp ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0xc8a9a | test ebp, esi ; dec dword ptr [rbp - 0x7b] ; dec dword ptr [rax - 0x77] ; ret ; 
0x140282 | test ecx, edx ; add byte ptr [rax], al ; add byte ptr [rax + 0x63], cl ; ret ; 
0xa0b19 | test esi, esi ; mov rax, rdx ; cmovne rax, rdi ; ret ; 
0x296e5 | xchg byte ptr [rsi], bl ; add al, byte ptr [rax] ; add byte ptr [rax + 0x39], cl ; ret ; 
0x13f3a1 | xchg dl, bl ; add byte ptr [rax], al ; add byte ptr [rcx - 0x77], al ; ret ; 
0xf753c | xchg eax, ebp ; add byte ptr [rax], 0 ; add byte ptr [rax + 1], cl ; ret ; 
0x14e5ee | xchg eax, ebx ; xor eax, eax ; pop rbx ; ret ; 
0x197afb | xchg eax, ecx ; add byte ptr [rax], al ; add byte ptr [rcx + 0x21], cl ; ret ; 
0x9f823 | xchg eax, esp ; ror byte ptr [rax - 0x7d], 0xc1 ; add dword ptr [rax - 0x7d], ecx ; ret ; 
0x101ae5 | xchg eax, esp ; ror byte ptr [rax - 0x7d], 0xc4 ; sub byte ptr [rbx + 0x5d], bl ; ret ; 
0x662b7 | xchg edi, ebx ; sbb dword ptr [rax], eax ; add byte ptr [rax - 0x7d], cl ; ret ; 
0x92544 | xchg edi, esi ; add al, byte ptr [rax] ; add dh, dh ; ret ; 
0xb6208 | xor ah, ah ; mov byte ptr [rdx + 0x10], ah ; mov rax, rdi ; ret ; 
0xb619e | xor ah, ah ; mov byte ptr [rdx + 8], ah ; mov rax, rdi ; ret ; 
0xbacf7 | xor byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0x40], ch ; ret ; 
0xa808e | xor dword ptr [rax - 0x7c], eax ; div byte ptr [rbp - 0x14] ; mov qword ptr [rdx], rcx ; ret ; 
0x192f13 | xor eax, 0x48000002 ; mov ecx, edx ; rep movsb byte ptr [rdi], byte ptr [rsi] ; ret ; 
0xdf0c8 | xor eax, eax ; add rsp, 0x10 ; pop rbx ; ret ; 
0x306d0 | xor eax, eax ; and edi, 0xffffff80 ; sete al ; ret ; 
0xe9729 | xor eax, eax ; cmp esi, 1 ; sete al ; ret ; 
0x1300e7 | xor eax, eax ; cmp rdx, rdi ; setae al ; ret ; 
0x1401f8 | xor eax, eax ; mov dword ptr [rdi + 0xc], edx ; mov qword ptr [rsi], rdi ; ret ; 
0x14106d | xor eax, eax ; rep stosq qword ptr [rdi], rax ; mov eax, r8d ; ret ; 
0x893a0 | xor eax, eax ; test byte ptr [rdi], 4 ; sete al ; ret ; 
0x893b0 | xor eax, eax ; test byte ptr [rdi], 8 ; sete al ; ret ; 
0x7b5f0 | xor ebx, ebx ; mov rax, rbx ; pop rbx ; ret ; 
0x3e160 | xor ecx, ecx ; addsd xmm0, xmm0 ; mov dword ptr [rdi], ecx ; ret ; 
0x643c9 | xor edi, dword ptr [rbx + 0x15] ; add byte ptr [rsi + 0xf], ah ; outsd dx, dword ptr [rsi] ; ret ; 
0xa81f0 | xor edx, edx ; mov qword ptr [rdi], rdx ; pop rbx ; ret ; 
0xbb383 | xor edx, edx ; or cl, cl ; cmove rax, rdx ; ret ; 
